timestamp,userID,HIT,test1,test2,test3,test4,test5,grade,duration
Tue 2015 Jul 07 08:42:47.641 [http-bio-8080-exec-8913] INFO  - EVENT,41ig8g9E-790,HIT02_24,FALSE,FALSE,FALSE,TRUE,FALSE,1,876045
Tue 2015 Jul 07 08:44:06.215 [http-bio-8080-exec-8929] INFO  - EVENT,832cg-7G1i-462:73eI-8E-2g-985,HIT01_8,TRUE,TRUE,TRUE,FALSE,TRUE,4,228741
Tue 2015 Jul 07 08:44:38.772 [http-bio-8080-exec-8917] INFO  - EVENT,75aE-6i4E-140,HIT01_8,TRUE,TRUE,TRUE,TRUE,FALSE,4,258661
Tue 2015 Jul 07 08:45:27.954 [http-bio-8080-exec-8916] INFO  - EVENT,89Ic3g-8c-261,HIT01_8,FALSE,FALSE,FALSE,FALSE,FALSE,0,73272
Tue 2015 Jul 07 08:46:23.480 [http-bio-8080-exec-8941] INFO  - EVENT,358ig-7C7C5-1-2:10EI0c-3A0-3-9,HIT02_24,TRUE,FALSE,TRUE,TRUE,FALSE,3,1785444
Tue 2015 Jul 07 08:46:31.983 [http-bio-8080-exec-8926] INFO  - EVENT,88Ae2a2C33-9,HIT01_8,FALSE,FALSE,FALSE,FALSE,FALSE,0,139886
Tue 2015 Jul 07 08:46:53.756 [http-bio-8080-exec-8944] INFO  - EVENT,270ie-2C-4c-550:97ai0I-8C871,HIT01_8,TRUE,TRUE,TRUE,FALSE,TRUE,4,42864
Tue 2015 Jul 07 08:47:27.013 [http-bio-8080-exec-8942] INFO  - EVENT,33ac-3i3I5-8-3:72ag4C-7e4-1-9,HIT01_8,TRUE,TRUE,TRUE,TRUE,TRUE,5,439316
Tue 2015 Jul 07 08:47:46.623 [http-bio-8080-exec-8926] INFO  - EVENT,85EG-9G-9A73-8:1686gc9a4I6-23,HIT02_24,FALSE,TRUE,FALSE,TRUE,TRUE,3,250128
Tue 2015 Jul 07 08:48:49.028 [http-bio-8080-exec-8913] INFO  - EVENT,54gG-7g7A92-5,HIT02_24,FALSE,TRUE,FALSE,FALSE,FALSE,1,699920
Tue 2015 Jul 07 08:50:15.610 [http-bio-8080-exec-8946] INFO  - EVENT,101CE0E8G-6-88,HIT02_24,FALSE,TRUE,TRUE,TRUE,FALSE,3,172985
Tue 2015 Jul 07 08:50:43.483 [http-bio-8080-exec-8913] INFO  - EVENT,59aa7c-2A0-38,HIT01_8,FALSE,FALSE,FALSE,FALSE,FALSE,0,760997
Tue 2015 Jul 07 08:50:56.540 [http-bio-8080-exec-8936] INFO  - EVENT,91Ae6A2C2-34,HIT01_8,TRUE,TRUE,FALSE,FALSE,FALSE,2,363500
Tue 2015 Jul 07 08:50:58.915 [http-bio-8080-exec-8924] INFO  - EVENT,108gg-8C-1i916,HIT02_24,FALSE,FALSE,FALSE,FALSE,TRUE,1,98285
Tue 2015 Jul 07 08:52:17.746 [http-bio-8080-exec-8929] INFO  - EVENT,104AE1A-1i-10-1,HIT01_8,FALSE,FALSE,FALSE,TRUE,FALSE,1,219390
Tue 2015 Jul 07 08:52:24.650 [http-bio-8080-exec-8936] INFO  - EVENT,102ac6E-3E-2-9-8,HIT01_8,FALSE,FALSE,FALSE,FALSE,FALSE,0,298585
Tue 2015 Jul 07 08:52:42.771 [http-bio-8080-exec-8935] INFO  - EVENT,98ce7A-4i-507,HIT01_8,TRUE,TRUE,TRUE,TRUE,FALSE,4,387311
Tue 2015 Jul 07 08:54:10.898 [http-bio-8080-exec-8913] INFO  - EVENT,121ci0A-8e-4-63,HIT01_8,FALSE,TRUE,FALSE,FALSE,FALSE,1,73929
Tue 2015 Jul 07 08:55:03.054 [http-bio-8080-exec-8963] INFO  - EVENT,70aA-7a-2A5-15,HIT01_8,TRUE,FALSE,FALSE,FALSE,FALSE,1,921329
Tue 2015 Jul 07 08:56:07.735 [http-bio-8080-exec-8954] INFO  - EVENT,124ge-3C-3E-864,HIT02_24,FALSE,TRUE,FALSE,FALSE,FALSE,1,161311
Tue 2015 Jul 07 08:58:27.061 [http-bio-8080-exec-8911] INFO  - EVENT,519CE-1a-8G700:117Ec-7c4a-50-9:93Ce-7c-8i-69-4,HIT01_8,TRUE,TRUE,TRUE,FALSE,TRUE,4,387025
Tue 2015 Jul 07 08:59:01.331 [http-bio-8080-exec-8957] INFO  - EVENT,122Ae5G4g68-1,HIT01_8,TRUE,FALSE,FALSE,FALSE,FALSE,1,360940
Tue 2015 Jul 07 08:59:23.737 [http-bio-8080-exec-8957] INFO  - EVENT,94CA2E-8e-485:14aa-9a8A-9-86,HIT01_8,TRUE,TRUE,TRUE,TRUE,TRUE,5,834004
Tue 2015 Jul 07 08:59:27.334 [http-bio-8080-exec-8951] INFO  - EVENT,126ai5g-4g8-25,HIT01_8,FALSE,FALSE,FALSE,FALSE,FALSE,0,284063
Tue 2015 Jul 07 08:59:44.308 [http-bio-8080-exec-8978] INFO  - EVENT,817EE-1e2C78-7:129eE4a-1E-24-3,HIT02_24,TRUE,TRUE,FALSE,TRUE,TRUE,4,235982
Tue 2015 Jul 07 09:00:23.314 [http-bio-8080-exec-8971] INFO  - EVENT,136IA7e1G-9-3-1,HIT01_8,TRUE,FALSE,FALSE,FALSE,FALSE,1,61572
Tue 2015 Jul 07 09:00:26.566 [http-bio-8080-exec-8977] INFO  - EVENT,132eG2G-6G193,HIT02_24,FALSE,TRUE,FALSE,TRUE,FALSE,2,209969
Tue 2015 Jul 07 09:00:39.018 [http-bio-8080-exec-8976] INFO  - EVENT,881AC0I2E-625:135cI3E-7e8-86,HIT01_8,TRUE,TRUE,TRUE,TRUE,TRUE,5,161875
Tue 2015 Jul 07 09:02:02.584 [http-bio-8080-exec-8986] INFO  - EVENT,138iG0g7c-2-6-7,HIT01_8,TRUE,FALSE,FALSE,TRUE,TRUE,3,155446
Tue 2015 Jul 07 09:02:34.106 [http-bio-8080-exec-8965] INFO  - EVENT,133Eg9G-5I-7-6-5,HIT01_8,FALSE,FALSE,FALSE,FALSE,FALSE,0,293370
Tue 2015 Jul 07 09:02:51.911 [http-bio-8080-exec-8986] INFO  - EVENT,137Ag-3A5G-1-20,HIT02_24,FALSE,FALSE,FALSE,TRUE,FALSE,1,206756
Tue 2015 Jul 07 09:03:01.282 [http-bio-8080-exec-8964] INFO  - EVENT,92cE-7e-3G-99-6,HIT01_8,FALSE,FALSE,FALSE,TRUE,FALSE,1,1084043
Tue 2015 Jul 07 09:03:10.754 [http-bio-8080-exec-8983] INFO  - EVENT,143IA4G2c934,HIT01_8,TRUE,TRUE,TRUE,TRUE,FALSE,4,125841
Tue 2015 Jul 07 09:03:36.648 [http-bio-8080-exec-8987] INFO  - EVENT,151AE-5c-4e2-67,HIT02_24,FALSE,TRUE,FALSE,TRUE,FALSE,2,29953
Tue 2015 Jul 07 09:04:28.306 [http-bio-8080-exec-8987] INFO  - EVENT,141iE9c2c18-9,HIT01_8,FALSE,TRUE,FALSE,FALSE,FALSE,1,246272
Tue 2015 Jul 07 09:04:44.894 [http-bio-8080-exec-8971] INFO  - EVENT,139ga6a-3G761,HIT01_8,TRUE,TRUE,TRUE,TRUE,TRUE,5,304947
Tue 2015 Jul 07 09:05:03.517 [http-bio-8080-exec-8964] INFO  - EVENT,154Cg-5g7C-8-4-8,HIT01_8,FALSE,FALSE,FALSE,TRUE,FALSE,1,73932
Tue 2015 Jul 07 09:06:13.576 [http-bio-8080-exec-8988] INFO  - EVENT,156AE-5C2G89-5,HIT01_8,TRUE,FALSE,FALSE,FALSE,FALSE,1,134458
Tue 2015 Jul 07 09:06:54.683 [http-bio-8080-exec-8967] INFO  - EVENT,148eG-8g-2c556,HIT01_8,FALSE,FALSE,TRUE,FALSE,FALSE,1,265564
Tue 2015 Jul 07 09:06:57.999 [http-bio-8080-exec-8988] INFO  - EVENT,64ee4e0C-38-1,HIT01_8,FALSE,FALSE,FALSE,FALSE,FALSE,0,1682511
Tue 2015 Jul 07 09:08:14.978 [http-bio-8080-exec-8998] INFO  - EVENT,152cG5C-5A-40-2,HIT01_8,FALSE,FALSE,FALSE,FALSE,TRUE,1,297905
Tue 2015 Jul 07 09:08:20.267 [http-bio-8080-exec-8990] INFO  - EVENT,157GE-3E0a2-4-9,HIT01_8,FALSE,TRUE,FALSE,FALSE,FALSE,1,200667
Tue 2015 Jul 07 09:10:31.158 [http-bio-8080-exec-9009] INFO  - EVENT,106IA8G0g-319,HIT01_8,TRUE,FALSE,FALSE,FALSE,FALSE,1,1307311
Tue 2015 Jul 07 09:10:37.899 [http-bio-8080-exec-8968] INFO  - EVENT,165aI8e-3C-3-78,HIT03_6,FALSE,FALSE,FALSE,FALSE,FALSE,0,159079
Tue 2015 Jul 07 09:11:10.878 [http-bio-8080-exec-8999] INFO  - EVENT,167IC9C8A02-9,HIT03_6,FALSE,FALSE,FALSE,FALSE,FALSE,0,168179
Tue 2015 Jul 07 09:11:55.246 [http-bio-8080-exec-8982] INFO  - EVENT,169Gg0e-9G2-6-7,HIT03_6,FALSE,FALSE,FALSE,TRUE,FALSE,1,136961
Tue 2015 Jul 07 09:12:16.811 [http-bio-8080-exec-8968] INFO  - EVENT,170ca-6g0A-6-3-8,HIT03_6,FALSE,FALSE,FALSE,FALSE,FALSE,0,139448
Tue 2015 Jul 07 09:13:04.915 [http-bio-8080-exec-9005] INFO  - EVENT,159EG3a-6i-5-2-9,HIT01_8,TRUE,TRUE,TRUE,TRUE,FALSE,4,382277
Tue 2015 Jul 07 09:13:09.758 [http-bio-8080-exec-9008] INFO  - EVENT,171AI2C-1C-514,HIT03_6,FALSE,TRUE,FALSE,TRUE,FALSE,2,173610
Tue 2015 Jul 07 09:13:19.410 [http-bio-8080-exec-9006] INFO  - EVENT,178Ci-7G0E5-62,HIT03_6,TRUE,FALSE,TRUE,TRUE,TRUE,4,39445
Tue 2015 Jul 07 09:15:03.665 [http-bio-8080-exec-9004] INFO  - EVENT,158CA7e7a984,HIT01_8,FALSE,FALSE,FALSE,FALSE,FALSE,0,564701
Tue 2015 Jul 07 09:15:27.207 [http-bio-8080-exec-9007] INFO  - EVENT,186cC-2C3e-5-3-2,HIT03_6,FALSE,FALSE,FALSE,TRUE,FALSE,1,32520
Tue 2015 Jul 07 09:16:11.233 [http-bio-8080-exec-8911] INFO  - EVENT,94iC8I-7g2-6-9:176ac-2C-6e7-94,HIT03_6,TRUE,TRUE,TRUE,TRUE,TRUE,5,243887
Tue 2015 Jul 07 09:17:32.305 [http-bio-8080-exec-9033] INFO  - EVENT,184EC-3g3e-30-3,HIT03_6,TRUE,FALSE,FALSE,TRUE,FALSE,2,181199
Tue 2015 Jul 07 09:18:56.114 [http-bio-8080-exec-9008] INFO  - EVENT,183EC9G-6E-4-40,HIT03_6,TRUE,FALSE,FALSE,TRUE,TRUE,3,267040
Tue 2015 Jul 07 09:19:41.249 [http-bio-8080-exec-8968] INFO  - EVENT,815aA-9g-4e44-8:182Ae3g-6i-30-5,HIT03_6,TRUE,TRUE,FALSE,TRUE,FALSE,3,335869
Tue 2015 Jul 07 09:19:43.014 [http-bio-8080-exec-8999] INFO  - EVENT,180GA-7g-2i20-9,HIT03_6,FALSE,FALSE,FALSE,FALSE,FALSE,0,406676
Tue 2015 Jul 07 09:19:47.201 [http-bio-8080-exec-9029] INFO  - EVENT,185ci-3a-7c2-76,HIT03_6,TRUE,TRUE,FALSE,TRUE,FALSE,3,312320
Tue 2015 Jul 07 09:20:03.053 [http-bio-8080-exec-9026] INFO  - EVENT,191GE6A3E-79-5,HIT01_8,FALSE,FALSE,FALSE,FALSE,TRUE,1,282168
Tue 2015 Jul 07 09:20:55.955 [http-bio-8080-exec-9015] INFO  - EVENT,168EC-5a-8G646,HIT03_6,TRUE,FALSE,FALSE,TRUE,FALSE,2,711369
